iter	Passed	Remaining
0	152	151973
1	152	76224
2	153	50958
3	153	38316
4	154	30731
5	154	25670
6	155	22057
7	156	19350
8	156	17242
9	157	15555
10	157	14173
11	158	13020
12	158	12044
13	159	11213
14	159	10489
15	160	9857
16	160	9297
17	161	8799
18	161	8354
19	162	7953
20	162	7590
21	163	7261
22	163	6960
23	164	6684
24	164	6430
25	165	6196
26	165	5980
27	166	5780
28	167	5594
29	167	5420
30	168	5257
31	168	5104
32	169	4961
33	169	4827
34	170	4700
35	171	4580
36	171	4466
37	172	4359
38	172	4256
39	173	4158
40	173	4065
41	174	3978
42	175	3895
43	175	3815
44	176	3738
45	176	3665
46	177	3595
47	177	3528
48	178	3464
49	179	3402
50	179	3343
51	180	3285
52	180	3230
53	181	3177
54	181	3126
55	182	3077
56	183	3030
57	183	2984
58	184	2942
59	185	2900
60	185	2859
61	186	2818
62	186	2779
63	187	2741
64	188	2704
65	188	2669
66	189	2634
67	189	2597
68	190	2564
69	190	2532
70	191	2501
71	191	2470
72	192	2440
73	192	2412
74	193	2383
75	193	2356
76	194	2329
77	194	2303
78	195	2278
79	195	2253
80	196	2229
81	197	2205
82	197	2183
83	198	2162
84	198	2138
85	199	2117
86	199	2095
87	200	2075
88	200	2056
89	201	2037
90	202	2018
91	202	1999
92	203	1980
93	203	1963
94	204	1945
95	204	1928
96	205	1911
97	205	1894
98	206	1878
99	206	1862
100	207	1846
101	207	1829
102	208	1814
103	208	1799
104	209	1785
105	209	1770
106	210	1756
107	211	1743
108	211	1730
109	212	1717
110	212	1704
111	213	1692
112	214	1680
113	214	1668
114	215	1656
115	215	1643
116	216	1632
117	216	1621
118	217	1609
119	217	1598
120	218	1587
121	219	1576
122	219	1564
123	219	1553
124	220	1543
125	221	1533
126	221	1523
127	221	1512
128	222	1502
129	223	1493
130	223	1483
131	224	1474
132	224	1466
133	225	1457
134	226	1448
135	226	1439
136	227	1431
137	227	1422
138	228	1414
139	228	1406
140	229	1398
