iter	Passed	Remaining
0	9	9250
1	10	5052
2	10	3554
3	11	2795
4	11	2339
5	12	2032
6	12	1828
7	13	1667
8	14	1543
9	14	1447
10	15	1368
11	15	1302
12	16	1259
13	17	1211
14	17	1170
15	18	1138
16	19	1109
17	19	1079
18	20	1051
19	20	1025
20	21	1003
21	22	982
22	22	964
23	23	946
24	24	942
25	29	1106
26	30	1089
27	30	1072
28	31	1057
29	32	1043
30	32	1028
31	33	1015
32	34	1004
33	34	992
34	35	981
35	36	970
36	36	961
37	37	952
38	38	943
39	39	940
40	39	933
41	40	926
42	41	918
43	41	911
44	42	904
45	43	898
46	43	892
47	44	886
48	45	881
49	46	877
50	46	871
51	47	869
52	48	863
53	48	857
54	49	851
55	50	845
56	50	838
57	51	832
58	51	827
59	52	821
60	53	815
61	53	813
62	54	814
63	55	816
64	56	816
65	57	815
66	58	813
67	59	810
68	59	806
69	60	802
70	61	798
71	61	794
72	62	790
73	62	786
74	63	782
75	64	778
76	64	774
77	65	771
78	65	768
79	66	765
80	67	762
81	67	759
82	68	753
83	69	756
84	70	756
85	70	754
86	71	750
87	72	748
88	72	745
89	73	743
90	74	740
91	74	738
92	75	736
93	76	733
94	76	730
95	77	728
96	77	725
97	78	722
98	79	719
99	79	717
100	80	714
101	80	711
102	81	709
103	82	706
104	82	704
105	83	703
106	88	735
107	88	733
108	89	732
109	90	730
110	90	728
111	91	726
112	92	724
113	92	721
114	93	719
115	94	717
116	94	713
117	95	711
118	95	709
119	96	706
120	97	704
121	97	701
122	98	700
123	99	704
124	100	702
125	100	700
126	101	697
127	102	695
128	102	693
129	103	692
130	104	691
131	104	689
132	105	688
133	106	686
134	106	684
135	107	682
136	107	679
137	108	677
138	109	675
139	109	673
140	110	671
141	110	668
142	111	667
143	112	666
144	112	665
145	113	665
146	114	664
147	116	671
148	117	671
149	118	670
150	118	668
151	119	667
152	120	665
153	120	663
154	121	662
155	122	660
156	122	658
157	123	657
158	123	655
159	124	654
160	125	651
